"x_fb","z_fbU","z_fbL","w_fb","x_sb","z_sbU","z_sbL","w_sb","x_sb2","z_sbU2","z_sbL2","w_sb2"
0.004689,0.014067,-0.014067,0.028134,1.087848,-0.0112536,-0.028134,0.028134,1.697418,-0.028134,-0.0450144,0.0168804
0.056268,0.073461,-0.073461,0.150048,1.120671,0.0075024,-0.0581436,0.0825264,1.739619,6.93889390390723e-19,-0.0712728,0.065646
0.135981,0.128166,-0.128166,0.256332,1.162872,0.0168804,-0.0787752,0.1087848,1.819332,0.018756,-0.0825264,0.0919044
0.271962,0.182871,-0.182871,0.334482,1.228518,0.018756,-0.09378,0.112536,1.889667,0.0168804,-0.0825264,0.0975312
0.431388,0.221946,-0.221946,0.37512,1.303542,0.0150048,-0.1012824,0.1050336,1.955313,0.0075024,-0.084402,0.0994068
0.581436,0.251643,-0.251643,0.381372,1.378566,0.009378,-0.1087848,0.1050336,2.035026,-0.0112536,-0.0956556,0.1050336
0.740862,0.264147,-0.264147,0.371994,1.448901,0.0037512,-0.1069092,0.1012824,2.100672,-0.028134,-0.1087848,0.103158
0.923733,0.28134,-0.28134,0.362616,1.519236,-0.0018756,-0.103158,0.09378,2.175696,-0.0450144,-0.1275408,0.0956556
1.045647,0.29697,-0.29697,0.368868,1.570815,-0.009378,-0.0900288,0.0768996,2.241342,-0.0693972,-0.150048,0.0731484
1.21914,0.301659,-0.301659,0.371994,1.617705,-0.0243828,-0.0768996,0.0506412,2.311677,-0.1069092,-0.1650528,0.0450144
1.383255,0.303222,-0.303222,0.368868,1.636461,-0.0450144,-0.0618948,0.0168804,2.353878,-0.1575504,-0.168804,0.0112536
1.528614,0.298533,-0.298533,0.353238,,,,,,,,
1.678662,0.300096,-0.300096,0.350112,,,,,,,,
1.82871,0.290718,-0.290718,0.353238,,,,,,,,
1.997514,0.287592,-0.287592,0.346986,,,,,,,,
2.147562,0.284466,-0.284466,0.337608,,,,,,,,
2.321055,0.279777,-0.279777,0.3126,,,,,,,,
2.466414,0.264147,-0.264147,0.309474,,,,,,,,
2.611773,0.245391,-0.245391,0.303222,,,,,,,,
2.76651,0.225072,-0.225072,0.303222,,,,,,,,
2.944692,0.20319,-0.20319,0.293844,,,,,,,,
3.085362,0.184434,-0.184434,0.268836,,,,,,,,
3.221343,0.167241,-0.167241,0.240702,,,,,,,,
3.380769,0.145359,-0.145359,0.18756,,,,,,,,
3.544884,0.106284,-0.106284,0.137544,,,,,,,,
3.643353,0.067209,-0.067209,0.081276,,,,,,,,
3.671487,0.032823,-0.032823,0.037512,,,,,,,,
