"x_fb","z_fbU","z_fbL","w_fb","x_sb","z_sbU","z_sbL","w_sb","x_sb2","z_sbU2","z_sbL2","w_sb2"
0.0044145,0.008829,-0.008829,0.017658,1.050651,0.026487,0.0158922,0.0211896,1.598049,0,-0.0158922,0.0105948
0.0573885,0.085347,-0.085347,0.158922,1.0638945,0.044145,-0.0105948,0.0565056,1.6289505,0.0300186,-0.044145,0.0635688
0.1721655,0.1545075,-0.1545075,0.279585,1.1168685,0.0600372,-0.0335502,0.08829,1.6995825,0.0494424,-0.0582714,0.0918216
0.2869425,0.2045385,-0.2045385,0.347274,1.174257,0.0688662,-0.0512082,0.114777,1.7525565,0.0565056,-0.0600372,0.1006506
0.4017195,0.2398545,-0.2398545,0.391419,1.218402,0.070632,-0.0635688,0.1218402,1.8055305,0.0565056,-0.061803,0.1024164
0.520911,0.2663415,-0.2663415,0.409077,1.280205,0.0653346,-0.0688662,0.1200744,1.8585045,0.0512082,-0.0671004,0.105948
0.635688,0.291357,-0.291357,0.423792,1.333179,0.0600372,-0.0688662,0.114777,1.915893,0.0459108,-0.0759294,0.1024164
0.7548795,0.311958,-0.311958,0.432621,1.3905675,0.052974,-0.0723978,0.1130112,1.977696,0.0388476,-0.0829926,0.0953532
0.8784855,0.335502,-0.335502,0.44145,1.4347125,0.0512082,-0.070632,0.1024164,2.03067,0.0335502,-0.08829,0.0953532
1.0020915,0.364932,-0.364932,0.467937,1.492101,0.0370818,-0.0600372,0.079461,2.083644,0.0229554,-0.097119,0.0988848
1.1080395,0.3899475,-0.3899475,0.494424,1.536246,0.0229554,-0.0370818,0.044145,2.136618,0.0105948,-0.1130112,0.1077138
1.2228165,0.4017195,-0.4017195,0.517968,1.562733,0,-0.0105948,0.0052974,2.189592,-0.0070632,-0.1359666,0.1094796
1.350837,0.4076055,-0.4076055,0.515025,,,,,2.2381515,-0.0282528,-0.1571562,0.1094796
1.4700285,0.4105485,-0.4105485,0.532683,,,,,2.2911255,-0.0565056,-0.17658,0.1024164
1.562733,0.417906,-0.417906,0.538569,,,,,2.3440995,-0.0812268,-0.1907064,0.0918216
1.668681,0.420849,-0.420849,0.553284,,,,,2.3970735,-0.1094796,-0.1907064,0.0723978
1.801116,0.4252635,-0.4252635,0.544455,,,,,2.454462,-0.1342008,-0.1801116,0.0459108
1.933551,0.4282065,-0.4282065,0.547398,,,,,2.463291,-0.158922,-0.1642194,0.0105948
2.0350845,0.426735,-0.426735,0.550341,,,,,,,,
2.1410325,0.420849,-0.420849,0.553284,,,,,,,,
2.251395,0.406134,-0.406134,0.535626,,,,,,,,
2.38383,0.391419,-0.391419,0.497367,,,,,,,,
2.5030215,0.3752325,-0.3752325,0.438507,,,,,,,,
2.6001405,0.359046,-0.359046,0.385533,,,,,,,,
2.728161,0.3340305,-0.3340305,0.347274,,,,,,,,
2.8473525,0.3046005,-0.3046005,0.332559,,,,,,,,
2.966544,0.2722275,-0.2722275,0.317844,,,,,,,,
3.0769065,0.2457405,-0.2457405,0.306072,,,,,,,,
3.1916835,0.2221965,-0.2221965,0.285471,,,,,,,,
3.310875,0.2074815,-0.2074815,0.267813,,,,,,,,
3.416823,0.1957095,-0.1957095,0.250155,,,,,,,,
3.5448435,0.188352,-0.188352,0.226611,,,,,,,,
3.6507915,0.179523,-0.179523,0.197181,,,,,,,,
3.769983,0.1751085,-0.1751085,0.164808,,,,,,,,
3.8715165,0.164808,-0.164808,0.132435,,,,,,,,
3.9509775,0.1221345,-0.1221345,0.111834,,,,,,,,
3.9951225,0.067689,-0.067689,0.070632,,,,,,,,
4.026024,0.008829,-0.008829,0.008829,,,,,,,,
