"x_fb","z_fbU","z_fbL","w_fb","x_sb","z_sbU","z_sbL","w_sb","x_sb2","z_sbU2","z_sbL2","w_sb2"
0.009921,0.019842,-0.019842,0.019842,1.0962705,-0.0476208,-0.0714312,0.0238104,1.746096,-0.059526,-0.0773838,0.0238104
0.0644865,0.0677935,-0.0677935,0.109131,1.1260335,-0.0178578,-0.1011942,0.0873048,1.7708985,-0.0277788,-0.1011942,0.0873048
0.119052,0.1207055,-0.1207055,0.195113,1.19052,-0.0019842,-0.1210362,0.1230204,1.835385,-0.0039684,-0.109131,0.1210362
0.248025,0.1703105,-0.1703105,0.271174,1.259967,0,-0.1309572,0.138894,1.904832,0.0079368,-0.1031784,0.119052
0.3819585,0.221569,-0.221569,0.347235,1.3244535,-0.0059526,-0.1329414,0.1369098,1.974279,0.0138894,-0.0952416,0.1150836
0.525813,0.2629065,-0.2629065,0.383612,1.3839795,-0.0119052,-0.1349256,0.138894,2.033805,0.0119052,-0.089289,0.1071468
0.674628,0.29763,-0.29763,0.400147,1.448466,-0.0138894,-0.1349256,0.138894,2.103252,0.0079368,-0.089289,0.1011942
0.8085615,0.3224325,-0.3224325,0.403454,1.5129525,-0.0138894,-0.1349256,0.1408782,2.162778,-0.0039684,-0.0952416,0.0972258
0.952416,0.3422745,-0.3422745,0.419989,1.577439,-0.019842,-0.1329414,0.128973,2.222304,-0.0178578,-0.109131,0.0972258
1.0764285,0.357156,-0.357156,0.436524,1.6419255,-0.0317472,-0.1309572,0.1031784,2.28183,-0.0337314,-0.1309572,0.109131
1.210362,0.367077,-0.367077,0.446445,1.676649,-0.0535734,-0.1230204,0.059526,2.3562375,-0.049605,-0.1607202,0.1150836
1.38894,0.370384,-0.370384,0.453059,1.696491,-0.0773838,-0.1071468,0.0119052,2.4157635,-0.069447,-0.1865148,0.1130994
1.5129525,0.370384,-0.370384,0.439831,,,,,2.4852105,-0.1011942,-0.19842,0.0853206
1.6518465,0.373691,-0.373691,0.436524,,,,,2.549697,-0.1329414,-0.1924674,0.0515892
1.7808195,0.3753445,-0.3753445,0.423296,,,,,2.57946,-0.1666728,-0.178578,0.0178578
1.914753,0.373691,-0.373691,0.410068,,,,,,,,
2.073489,0.3654235,-0.3654235,0.383612,,,,,,,,
2.212383,0.3654235,-0.3654235,0.36377,,,,,,,,
2.341356,0.357156,-0.357156,0.360463,,,,,,,,
2.48025,0.350542,-0.350542,0.350542,,,,,,,,
2.6141835,0.334007,-0.334007,0.3307,,,,,,,,
2.767959,0.320779,-0.320779,0.300937,,,,,,,,
2.9118135,0.3092045,-0.3092045,0.294323,,,,,,,,
3.035826,0.2827485,-0.2827485,0.281095,,,,,,,,
3.184641,0.2529855,-0.2529855,0.274481,,,,,,,,
3.333456,0.2099945,-0.2099945,0.254639,,,,,,,,
3.4673895,0.1802315,-0.1802315,0.238104,,,,,,,,
3.601323,0.1570825,-0.1570825,0.211648,,,,,,,,
3.7451775,0.148815,-0.148815,0.171964,,,,,,,,
3.879111,0.1173985,-0.1173985,0.138894,,,,,,,,
3.958479,0.0744075,-0.0744075,0.089289,,,,,,,,
3.978321,0.0148815,-0.0148815,0.029763,,,,,,,,
