"x_fb","z_fbU","z_fbL","w_fb","x_sb","z_sbU","z_sbL","w_sb","x_sb2","z_sbU2","z_sbL2","w_sb2"
0.008829,0.008829,-0.008829,0.017658,0.962361,0.0158922,0.0052974,0.0052974,1.41264,-0.0052974,-0.0211896,0.0211896
0.123606,0.097119,-0.097119,0.161865,0.988848,0.035316,-0.017658,0.044145,1.4435415,0.0123606,-0.044145,0.0635688
0.238383,0.158922,-0.158922,0.270756,1.041822,0.0459108,-0.0335502,0.0723978,1.474443,0.026487,-0.061803,0.0918216
0.3399165,0.200124,-0.200124,0.329616,1.094796,0.0476766,-0.0423792,0.079461,1.527417,0.0335502,-0.0671004,0.1077138
0.459108,0.2280825,-0.2280825,0.356103,1.1521845,0.044145,-0.044145,0.0847584,1.580391,0.0370818,-0.070632,0.1130112
0.582714,0.2545695,-0.2545695,0.364932,1.200744,0.0406134,-0.0459108,0.0829926,1.633365,0.035316,-0.0653346,0.114777
0.6842475,0.270756,-0.270756,0.367875,1.2581325,0.0335502,-0.044145,0.0776952,1.6819245,0.0317844,-0.0653346,0.1112454
0.821097,0.282528,-0.282528,0.38259,1.3111065,0.0247212,-0.0370818,0.0582714,1.739313,0.0282528,-0.0635688,0.1077138
0.9226305,0.2928285,-0.2928285,0.391419,1.350837,0.0123606,-0.0229554,0.0317844,1.783458,0.0229554,-0.070632,0.1094796
1.041822,0.300186,-0.300186,0.403191,1.359666,0,-0.0052974,0.0052974,1.845261,0.0158922,-0.079461,0.1077138
1.156599,0.303129,-0.303129,0.394362,,,,,1.8938205,0.0052974,-0.0918216,0.1077138
1.271376,0.303129,-0.303129,0.394362,,,,,1.951209,-0.0070632,-0.1041822,0.105948
1.394982,0.303129,-0.303129,0.388476,,,,,2.004183,-0.0211896,-0.114777,0.105948
1.509759,0.3046005,-0.3046005,0.388476,,,,,2.057157,-0.0388476,-0.1253718,0.097119
1.6201215,0.306072,-0.306072,0.379647,,,,,2.1057165,-0.0635688,-0.132435,0.0723978
1.739313,0.3075435,-0.3075435,0.373761,,,,,2.163105,-0.0865242,-0.1289034,0.0406134
1.836432,0.311958,-0.311958,0.367875,,,,,2.171934,-0.105948,-0.1112454,0.0052974
1.9556235,0.3104865,-0.3104865,0.35316,,,,,,,,
2.0792295,0.2957715,-0.2957715,0.332559,,,,,,,,
2.189592,0.2781135,-0.2781135,0.306072,,,,,,,,
2.313198,0.2516265,-0.2516265,0.297243,,,,,,,,
2.4059025,0.2280825,-0.2280825,0.273699,,,,,,,,
2.5383375,0.20601,-0.20601,0.261927,,,,,,,,
2.657529,0.1898235,-0.1898235,0.229554,,,,,,,,
2.763477,0.179523,-0.179523,0.226611,,,,,,,,
2.878254,0.1662795,-0.1662795,0.20601,,,,,,,,
3.00186,0.155979,-0.155979,0.197181,,,,,,,,
3.116637,0.1427355,-0.1427355,0.182466,,,,,,,,
3.231414,0.132435,-0.132435,0.173637,,,,,,,,
3.3417765,0.114777,-0.114777,0.155979,,,,,,,,
3.4565535,0.0662175,-0.0662175,0.105948,,,,,,,,
3.522771,-0.017658,0.017658,0.035316,,,,,,,,
