x_fb,z_fbU,z_fbL,w_fb,x_sb,z_sbU,z_sbL,w_sb,x_sb2,z_sbU2,z_sbL2,w_sb2
0.007687,0.007687,-0.007687,0.023061,0.807135,0,-0.0092244,0.0092244,1.245294,-0.0092244,-0.023061,0.0092244
0.053809,0.070464167,-0.070464167,0.120429667,0.830196,0.0169114,-0.0261358,0.0415098,1.2952595,0.0061496,-0.0430472,0.0491968
0.146053,0.125554333,-0.125554333,0.199862,0.8801615,0.0292106,-0.038435,0.069183,1.3490685,0.0169114,-0.0553464,0.0753326
0.245984,0.167832833,-0.167832833,0.256233333,0.92244,0.0338228,-0.0491968,0.0891692,1.3951905,0.0215236,-0.0584212,0.0891692
0.345915,0.1960185,-0.1960185,0.281856667,0.9724055,0.0322854,-0.0568838,0.0937814,1.445156,0.023061,-0.0584212,0.0891692
0.4496895,0.210111333,-0.210111333,0.299793,1.022371,0.0276732,-0.061496,0.0907066,1.4874345,0.0215236,-0.0584212,0.084557
0.553464,0.2190795,-0.2190795,0.30748,1.0646495,0.0245984,-0.0584212,0.0814822,1.5412435,0.015374,-0.0584212,0.0753326
0.6726125,0.224204167,-0.224204167,0.317729333,1.114615,0.023061,-0.0568838,0.069183,1.5873655,0.0046122,-0.061496,0.0676456
0.7687,0.233172333,-0.233172333,0.322854,1.160737,0.015374,-0.046122,0.0491968,1.6258005,-0.0046122,-0.0645708,0.0630334
0.868631,0.240859333,-0.240859333,0.333103333,1.1953285,0.0030748,-0.0368976,0.0292106,1.675766,-0.015374,-0.0722578,0.0553464
0.9724055,0.244702833,-0.244702833,0.345915,1.2183895,-0.0138366,-0.0276732,0.0092244,1.721888,-0.0276732,-0.0814822,0.0507342
1.068493,0.247265167,-0.247265167,0.338228,,,,,1.76801,-0.046122,-0.0891692,0.0399724
1.1645805,0.243421667,-0.243421667,0.325416333,,,,,1.814132,-0.0630334,-0.0891692,0.0276732
1.2875725,0.240859333,-0.240859333,0.310042333,,,,,1.829506,-0.07687,-0.0876318,0.0122992
1.3875035,0.237015833,-0.237015833,0.30748,,,,,1.84488,-0.0876318,-0.0876318,0.005
1.491278,0.237015833,-0.237015833,0.302355333,,,,,,,,
1.583522,0.237015833,-0.237015833,0.292106,,,,,,,,
1.683453,0.2344535,-0.2344535,0.281856667,,,,,,,,
1.775697,0.224204167,-0.224204167,0.274169667,,,,,,,,
1.8794715,0.208830167,-0.208830167,0.263920333,,,,,,,,
1.9794025,0.1883315,-0.1883315,0.256233333,,,,,,,,
2.090864,0.171676333,-0.171676333,0.235734667,,,,,,,,
2.183108,0.151177667,-0.151177667,0.222923,,,,,,,,
2.283039,0.137084833,-0.137084833,0.210111333,,,,,,,,
2.3868135,0.120429667,-0.120429667,0.212673667,,,,,,,,
2.490588,0.112742667,-0.112742667,0.197299667,,,,,,,,
2.5866755,0.099931,-0.099931,0.184488,,,,,,,,
2.69045,0.092244,-0.092244,0.163989333,,,,,,,,
2.798068,0.0807135,-0.0807135,0.140928333,,,,,,,,
2.890312,0.070464167,-0.070464167,0.112742667,,,,,,,,
2.967182,0.047403167,-0.047403167,0.074307667,,,,,,,,
2.9940865,0.015374,-0.015374,0.038435,,,,,,,,
