"x_fb","z_fbU","z_fbL","w_fb","x_sb","z_sbU","z_sbL","w_sb","x_sb2","z_sbU2","z_sbL2","w_sb2"
0.004224,0.016896,-0.016896,0.025344,1.148928,0.0152064,0,0.025344,1.6896,-0.0050688,-0.025344,0.0202752
0.050688,0.0704,-0.0704,0.132352,1.199616,0.0287232,-0.025344,0.0709632,1.723392,0.0219648,-0.0625152,0.0811008
0.088704,0.125312,-0.125312,0.219648,1.258752,0.0388608,-0.0439296,0.101376,1.748736,0.0354816,-0.0794112,0.1115136
0.215424,0.170368,-0.170368,0.287232,1.326336,0.04224,-0.050688,0.109824,1.803648,0.033792,-0.0811008,0.1216512
0.346368,0.21824,-0.21824,0.335104,1.385472,0.0439296,-0.0523776,0.109824,1.875456,0.0321024,-0.0811008,0.1216512
0.477312,0.252032,-0.252032,0.371712,1.453056,0.04224,-0.0523776,0.1030656,1.934592,0.0304128,-0.0811008,0.12672
0.604032,0.283008,-0.283008,0.388608,1.512192,0.0405504,-0.0540672,0.092928,1.989504,0.0304128,-0.08448,0.1233408
0.747648,0.30976,-0.30976,0.399872,1.575552,0.0304128,-0.0489984,0.076032,2.052864,0.025344,-0.0912384,0.1250304
0.86592,0.328064,-0.328064,0.411136,1.634688,0.0152064,-0.0371712,0.0489984,2.120448,0.0185856,-0.0996864,0.12672
1.009536,0.342144,-0.342144,0.439296,1.655808,-0.0050688,-0.0202752,0.0152064,2.183808,0.0067584,-0.109824,0.1317888
1.136256,0.350592,-0.350592,0.442112,,,,,2.230272,-0.0050688,-0.1165824,0.1284096
1.2672,0.35904,-0.35904,0.444928,,,,,2.314752,-0.0219648,-0.135168,0.1199616
1.398144,0.367488,-0.367488,0.428032,,,,,2.352768,-0.0405504,-0.1486848,0.1081344
1.516416,0.37312,-0.37312,0.433664,,,,,2.420352,-0.0557568,-0.1638912,0.0996864
1.651584,0.37312,-0.37312,0.4224,,,,,2.487936,-0.076032,-0.1638912,0.08448
1.790976,0.36608,-0.36608,0.411136,,,,,2.530176,-0.0979968,-0.1537536,0.0523776
1.926144,0.357632,-0.357632,0.416768,,,,,2.559744,-0.12672,-0.1368576,0.0050688
2.061312,0.347776,-0.347776,0.428032,,,,,,,,
2.17536,0.342144,-0.342144,0.425216,,,,,,,,
2.306304,0.33792,-0.33792,0.399872,,,,,,,,
2.454144,0.332288,-0.332288,0.357632,,,,,,,,
2.580864,0.315392,-0.315392,0.321024,,,,,,,,
2.716032,0.284416,-0.284416,0.304128,,,,,,,,
2.821632,0.259072,-0.259072,0.301312,,,,,,,,
2.948352,0.23232,-0.23232,0.304128,,,,,,,,
3.08352,0.219648,-0.219648,0.284416,,,,,,,,
3.222912,0.198528,-0.198528,0.259072,,,,,,,,
3.362304,0.187264,-0.187264,0.236544,,,,,,,,
3.4848,0.174592,-0.174592,0.230912,,,,,,,,
3.624192,0.170368,-0.170368,0.216832,,,,,,,,
3.742464,0.164736,-0.164736,0.202752,,,,,,,,
3.869184,0.157696,-0.157696,0.16896,,,,,,,,
3.995904,0.157696,-0.157696,0.1408,,,,,,,,
4.126848,0.150656,-0.150656,0.118272,,,,,,,,
4.240896,0.107008,-0.107008,0.078848,,,,,,,,
4.274688,0.016896,-0.016896,0.016896,,,,,,,,
