"x_fb","z_fbU","z_fbL","w_fb","x_sb","z_sbU","z_sbL","w_sb","x_sb2","z_sbU2","z_sbL2","w_sb2"
0.0041455,0.0124365,-0.0124365,0.049746,1.2560865,-0.0198984,-0.0397968,0.024873,1.9027845,-0.0547206,-0.0895428,0.0298476
0.0704735,0.074619,-0.074619,0.152001666666667,1.2892505,0.0066328,-0.074619,0.0845682,1.923512,-0.0348222,-0.1061248,0.074619
0.149238,0.1368015,-0.1368015,0.237675333333333,1.3141235,0.0215566,-0.0978338,0.1193904,1.964967,-0.016582,-0.1193904,0.1061248
0.2611665,0.189311166666667,-0.189311166666667,0.315058,1.3721605,0.0182402,-0.1110994,0.1309978,2.0271495,-0.0066328,-0.1276814,0.1276814
0.4104045,0.241820833333333,-0.241820833333333,0.389677,1.426052,0.008291,-0.1210486,0.1309978,2.0686045,-2.77555756156289e-18,-0.1392888,0.1459216
0.5264785,0.279130333333333,-0.279130333333333,0.439423,1.4965255,-0.0016582,-0.1293396,0.1309978,2.1183505,-0.0066328,-0.1426052,0.157529
0.66328,0.308148833333333,-0.308148833333333,0.472587,1.5462715,-0.0049746,-0.132656,0.1260232,2.188824,-0.0099492,-0.1508962,0.157529
0.7834995,0.333021833333333,-0.333021833333333,0.483641666666667,1.6125995,-0.0066328,-0.1309978,0.1260232,2.2510065,-0.0132656,-0.1508962,0.157529
0.8995735,0.364804,-0.364804,0.505751,1.666491,-0.0049746,-0.1276814,0.1210486,2.304898,-0.0149238,-0.157529,0.157529
1.0239385,0.392440666666667,-0.392440666666667,0.519569333333333,1.7203825,-0.0049746,-0.1210486,0.107783,2.362935,-0.0215566,-0.1625036,0.1608454
1.169031,0.409022666666667,-0.409022666666667,0.544442333333333,1.7784195,-0.0132656,-0.1127576,0.08291,2.4251175,-0.0348222,-0.1757692,0.1591872
1.309978,0.420077333333333,-0.420077333333333,0.552733333333333,1.840602,-0.033164,-0.0978338,0.0480878,2.4873,-0.0464296,-0.1890348,0.1525544
1.4301975,0.4269865,-0.4269865,0.555497,1.848893,-0.0596952,-0.0795936,0.0099492,2.537046,-0.0596952,-0.2056168,0.140947
1.5462715,0.444950333333333,-0.444950333333333,0.547206,,,,,2.5992285,-0.0762772,-0.2172242,0.1193904
1.666491,0.449095833333333,-0.449095833333333,0.561024333333333,,,,,2.661411,-0.0961756,-0.2288316,0.107783
1.7950015,0.454623166666667,-0.454623166666667,0.552733333333333,,,,,2.7153025,-0.1227068,-0.2304898,0.0878846
1.915221,0.450477666666667,-0.450477666666667,0.558260666666667,,,,,2.777485,-0.149238,-0.2304898,0.0679862
2.039586,0.4518595,-0.4518595,0.538915,,,,,2.835522,-0.1790856,-0.223857,0.0364804
2.163951,0.449095833333333,-0.449095833333333,0.533387666666667,,,,,2.860395,-0.2089332,-0.2139078,0.0099492
2.3173345,0.439423,-0.439423,0.514042,,,,,,,,
2.4334085,0.429750166666667,-0.429750166666667,0.502987333333333,,,,,,,,
2.5411915,0.415931833333333,-0.415931833333333,0.500223666666667,,,,,,,,
2.6738475,0.406259,-0.406259,0.494696333333333,,,,,,,,
2.8065035,0.384149666666667,-0.384149666666667,0.469823333333333,,,,,,,,
2.9391595,0.367567666666667,-0.367567666666667,0.439423,,,,,,,,
3.0635245,0.353749333333333,-0.353749333333333,0.417313666666667,,,,,,,,
3.175453,0.341312833333333,-0.341312833333333,0.409022666666667,,,,,,,,
3.3164,0.321967166666667,-0.321967166666667,0.392440666666667,,,,,,,,
3.432474,0.297094166666667,-0.297094166666667,0.381386,,,,,,,,
3.56513,0.272221166666667,-0.272221166666667,0.367567666666667,,,,,,,,
3.689495,0.2528755,-0.2528755,0.350985666666667,,,,,,,,
3.822151,0.237675333333333,-0.237675333333333,0.320585333333333,,,,,,,,
3.9423705,0.222475166666667,-0.222475166666667,0.290185,,,,,,,,
4.0667355,0.205893166666667,-0.205893166666667,0.262548333333333,,,,,,,,
4.186955,0.1865475,-0.1865475,0.237675333333333,,,,,,,,
4.319611,0.174111,-0.174111,0.204511333333333,,,,,,,,
4.4398305,0.167201833333333,-0.167201833333333,0.176874666666667,,,,,,,,
4.535177,0.1202195,-0.1202195,0.135419666666667,,,,,,,,
4.6056505,0.066328,-0.066328,0.0939646666666667,,,,,,,,
4.634669,0.0041455,-0.0041455,0.041455,,,,,,,,
