"x_fb","z_fbU","z_fbL","w_fb","x_sb","z_sbU","z_sbL","w_sb","x_sb2","z_sbU2","z_sbL2","w_sb2"
0.008556,0.025668,-0.025668,0.068448,1.150782,0.0154008,0,0.0205344,1.762536,-0.0205344,-0.0462024,0.0410688
0.04278,0.06417,-0.06417,0.17112,1.189284,0.0359352,-0.0205344,0.0650256,1.792482,0.0034224,-0.077004,0.0975384
0.08556,0.115506,-0.115506,0.253828,1.214952,0.0479136,-0.0410688,0.0924048,1.826706,0.017112,-0.0992496,0.1334736
0.201066,0.169694,-0.169694,0.32798,1.26201,0.051336,-0.0530472,0.1129392,1.890876,0.0239568,-0.1095168,0.154008
0.32085,0.218178,-0.218178,0.376464,1.321902,0.0530472,-0.0667368,0.1232064,1.942212,0.0239568,-0.119784,0.1557192
0.44919,0.255254,-0.255254,0.422096,1.377516,0.0496248,-0.077004,0.1351848,2.006382,0.0205344,-0.1214952,0.154008
0.573252,0.288052,-0.288052,0.430652,1.441686,0.0496248,-0.0906936,0.1317624,2.061996,0.0154008,-0.1249176,0.154008
0.710148,0.32085,-0.32085,0.447764,1.4973,0.0444912,-0.0924048,0.1214952,2.11761,0.0136896,-0.1266288,0.1505856
0.821376,0.350796,-0.350796,0.453468,1.548636,0.0410688,-0.0872712,0.0992496,2.173224,0.0136896,-0.1317624,0.1471632
0.932604,0.37789,-0.37789,0.48484,1.608528,0.0290904,-0.0701592,0.077004,2.22456,0.008556,-0.136896,0.136896
1.078056,0.397854,-0.397854,0.4991,1.659864,0.017112,-0.0547584,0.0496248,2.284452,-0.0034224,-0.1420296,0.136896
1.202118,0.417818,-0.417818,0.507656,1.702644,0.0051336,-0.0359352,0.0308016,2.33151,-0.0188232,-0.154008,0.1386072
1.317624,0.433504,-0.433504,0.510508,1.719756,-0.0051336,-0.0205344,0.0154008,2.399958,-0.0393576,-0.1676976,0.1334736
1.441686,0.44919,-0.44919,0.519064,,,,,2.447016,-0.0564696,-0.188232,0.1214952
1.557192,0.453468,-0.453468,0.519064,,,,,2.506908,-0.0752928,-0.205344,0.102672
1.672698,0.453468,-0.453468,0.524768,,,,,2.562522,-0.0975384,-0.2190336,0.0838488
1.801038,0.452042,-0.452042,0.516212,,,,,2.622414,-0.1266288,-0.2156112,0.0564696
1.929378,0.44919,-0.44919,0.533324,,,,,2.67375,-0.1522968,-0.2036328,0.034224
2.066274,0.44206,-0.44206,0.51336,,,,,2.707974,-0.1694088,-0.1848096,0.0154008
2.164668,0.436356,-0.436356,0.4991,,,,,,,,
2.275896,0.426374,-0.426374,0.459172,,,,,,,,
2.41707,0.412114,-0.412114,0.447764,,,,,,,,
2.532576,0.39215,-0.39215,0.422096,,,,,,,,
2.669472,0.366482,-0.366482,0.410688,,,,,,,,
2.789256,0.339388,-0.339388,0.390724,,,,,,,,
2.896206,0.30659,-0.30659,0.38502,,,,,,,,
3.011712,0.2852,-0.2852,0.365056,,,,,,,,
3.152886,0.269514,-0.269514,0.347944,,,,,,,,
3.268392,0.25668,-0.25668,0.330832,,,,,,,,
3.383898,0.240994,-0.240994,0.330832,,,,,,,,
3.50796,0.229586,-0.229586,0.310868,,,,,,,,
3.632022,0.212474,-0.212474,0.2852,,,,,,,,
3.768918,0.193936,-0.193936,0.25668,,,,,,,,
3.87159,0.173972,-0.173972,0.236716,,,,,,,,
4.004208,0.161138,-0.161138,0.208196,,,,,,,,
4.136826,0.155434,-0.155434,0.159712,,,,,,,,
4.226664,0.108376,-0.108376,0.096968,,,,,,,,
4.295112,0.02139,-0.02139,0.025668,,,,,,,,
