"x_fb","z_fbU","z_fbL","w_fb","x_sb","z_sbU","z_sbL","w_sb","x_sb2","z_sbU2","z_sbL2","w_sb2"
0.0085,0.0085,-0.0085,0.034,1.071,0,-0.0204,0.0204,1.65325,-0.0204,-0.0459,0.0255
0.03825,0.0495833333333333,-0.0495833333333333,0.1105,1.105,0.0187,-0.0476,0.0612,1.683,0.0034,-0.0799,0.0816
0.0935,0.0991666666666667,-0.0991666666666667,0.181333333333333,1.13475,0.0289,-0.0697,0.0867,1.7425,0.017,-0.0969,0.1139
0.204,0.154416666666667,-0.154416666666667,0.257833333333333,1.19,0.0289,-0.0833,0.0952,1.802,0.0204,-0.1003,0.1241
0.32725,0.205416666666667,-0.205416666666667,0.320166666666667,1.2495,0.0255,-0.0918,0.0969,1.853,0.0204,-0.0986,0.119
0.4505,0.24225,-0.24225,0.376833333333333,1.3005,0.0221,-0.0952,0.0952,1.9125,0.0187,-0.102,0.119
0.5695,0.264916666666667,-0.264916666666667,0.408,1.3515,0.0204,-0.0952,0.0952,1.96775,0.017,-0.1122,0.1156
0.6885,0.281916666666667,-0.281916666666667,0.447666666666667,1.40675,0.0187,-0.0952,0.0884,2.01875,0.0119,-0.119,0.1224
0.81175,0.291833333333333,-0.291833333333333,0.476,1.4705,0.017,-0.0935,0.085,2.07825,0.0034,-0.1258,0.1241
0.93075,0.303166666666667,-0.303166666666667,0.493,1.51725,0.0136,-0.0884,0.0714,2.1335,-0.0085,-0.1309,0.1292
1.04975,0.313083333333333,-0.313083333333333,0.498666666666667,1.581,0.0034,-0.068,0.0476,2.18875,-0.0221,-0.1445,0.1241
1.16875,0.324416666666667,-0.324416666666667,0.495833333333333,1.615,-0.0153,-0.0357,0.0102,2.23975,-0.0374,-0.1598,0.1156
1.29625,0.332916666666667,-0.332916666666667,0.490166666666667,,,,,2.3035,-0.0578,-0.1751,0.1037
1.40675,0.338583333333333,-0.338583333333333,0.478833333333333,,,,,2.3545,-0.085,-0.1802,0.0748
1.5385,0.345666666666667,-0.345666666666667,0.459,,,,,2.4055,-0.1173,-0.1785,0.0442
1.67025,0.3485,-0.3485,0.453333333333333,,,,,2.431,-0.153,-0.1683,0.0102
1.78075,0.347083333333333,-0.347083333333333,0.442,,,,,,,,
1.89125,0.345666666666667,-0.345666666666667,0.439166666666667,,,,,,,,
2.01875,0.342833333333333,-0.342833333333333,0.430666666666667,,,,,,,,
2.14625,0.34425,-0.34425,0.427833333333333,,,,,,,,
2.26525,0.337166666666667,-0.337166666666667,0.419333333333333,,,,,,,,
2.38425,0.330083333333333,-0.330083333333333,0.385333333333333,,,,,,,,
2.51175,0.31025,-0.31025,0.3485,,,,,,,,
2.63075,0.300333333333333,-0.300333333333333,0.311666666666667,,,,,,,,
2.73275,0.272,-0.272,0.291833333333333,,,,,,,,
2.856,0.249333333333333,-0.249333333333333,0.2805,,,,,,,,
2.98775,0.213916666666667,-0.213916666666667,0.272,,,,,,,,
3.09825,0.1955,-0.1955,0.266333333333333,,,,,,,,
3.23425,0.177083333333333,-0.177083333333333,0.249333333333333,,,,,,,,
3.35325,0.16575,-0.16575,0.2465,,,,,,,,
3.47225,0.155833333333333,-0.155833333333333,0.240833333333333,,,,,,,,
3.5955,0.150166666666667,-0.150166666666667,0.223833333333333,,,,,,,,
3.7145,0.143083333333333,-0.143083333333333,0.184166666666667,,,,,,,,
3.8335,0.134583333333333,-0.134583333333333,0.150166666666667,,,,,,,,
3.94825,0.136,-0.136,0.136,,,,,,,,
4.063,0.10625,-0.10625,0.116166666666667,,,,,,,,
4.12675,0.068,-0.068,0.0793333333333333,,,,,,,,
4.165,0.0085,-0.0085,0.0255,,,,,,,,
