"x_fb","z_fbU","z_fbL","w_fb","x_sb","z_sbU","z_sbL","w_sb","x_sb2","z_sbU2","z_sbL2","w_sb2"
0.00433,0.00433,-0.00433,0.02598,1.06518,0.010392,-0.010392,0.015588,1.58478,-0.031176,-0.057156,0.010392
0.05196,0.0591766666666667,-0.0591766666666667,0.124126666666667,1.09982,0.027712,-0.039836,0.064084,1.61076,-0.012124,-0.072744,0.065816
0.11258,0.115466666666667,-0.115466666666667,0.20784,1.13879,0.03464,-0.064084,0.096992,1.64973,0.003464,-0.084868,0.096992
0.23382,0.163096666666667,-0.163096666666667,0.274233333333333,1.19508,0.036372,-0.07794,0.11258,1.6887,0.019052,-0.0866,0.109116
0.35506,0.209283333333333,-0.209283333333333,0.331966666666667,1.25137,0.029444,-0.090064,0.117776,1.76231,0.024248,-0.083136,0.110848
0.48063,0.23815,-0.23815,0.369493333333333,1.30333,0.027712,-0.096992,0.119508,1.81427,0.027712,-0.076208,0.110848
0.59754,0.262686666666667,-0.262686666666667,0.392586666666667,1.35529,0.022516,-0.098724,0.124704,1.87489,0.020784,-0.072744,0.100456
0.72744,0.287223333333333,-0.287223333333333,0.404133333333333,1.41591,0.024248,-0.096992,0.1299,1.92685,0.019052,-0.07794,0.098724
0.866,0.31176,-0.31176,0.430113333333333,1.46787,0.020784,-0.083136,0.122972,2.00046,0.012124,-0.083136,0.098724
0.98724,0.327636666666667,-0.327636666666667,0.461866666666667,1.52849,0.012124,-0.06062,0.084868,2.05675,0.001732,-0.096992,0.102188
1.11714,0.336296666666667,-0.336296666666667,0.487846666666667,1.5588,-0.010392,-0.02598,0.015588,2.10438,-0.012124,-0.116044,0.107384
1.24271,0.339183333333333,-0.339183333333333,0.49362,,,,,2.16067,-0.029444,-0.136828,0.110848
1.35962,0.339183333333333,-0.339183333333333,0.48496,,,,,2.21263,-0.046764,-0.15588,0.11258
1.48519,0.336296666666667,-0.336296666666667,0.482073333333333,,,,,2.26892,-0.071012,-0.166272,0.107384
1.60643,0.331966666666667,-0.331966666666667,0.470526666666667,,,,,2.33387,-0.100456,-0.166272,0.074476
1.72767,0.327636666666667,-0.327636666666667,0.464753333333333,,,,,2.37284,-0.135096,-0.150684,0.015588
1.85324,0.323306666666667,-0.323306666666667,0.447433333333333,,,,,,,,
1.98747,0.32475,-0.32475,0.444546666666667,,,,,,,,
2.10438,0.318976666666667,-0.318976666666667,0.433,,,,,,,,
2.22995,0.31609,-0.31609,0.418566666666667,,,,,,,,
2.35552,0.304543333333333,-0.304543333333333,0.392586666666667,,,,,,,,
2.48542,0.29444,-0.29444,0.366606666666667,,,,,,,,
2.598,0.271346666666667,-0.271346666666667,0.3464,,,,,,,,
2.73223,0.24248,-0.24248,0.326193333333333,,,,,,,,
2.84914,0.2165,-0.2165,0.305986666666667,,,,,,,,
2.96172,0.19485,-0.19485,0.291553333333333,,,,,,,,
3.10028,0.18186,-0.18186,0.28578,,,,,,,,
3.22585,0.174643333333333,-0.174643333333333,0.271346666666667,,,,,,,,
3.35142,0.167426666666667,-0.167426666666667,0.2598,,,,,,,,
3.47699,0.158766666666667,-0.158766666666667,0.236706666666667,,,,,,,,
3.5939,0.145776666666667,-0.145776666666667,0.22516,,,,,,,,
3.71514,0.135673333333333,-0.135673333333333,0.187633333333333,,,,,,,,
3.83638,0.118353333333333,-0.118353333333333,0.161653333333333,,,,,,,,
3.91865,0.0764966666666667,-0.0764966666666667,0.1299,,,,,,,,
3.95329,0.00866,-0.00866,0.11258,,,,,,,,
